순,이름,팀,정렬,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,비율,,,,,,WAR*,WPA
48,안치홍,20롯2B,460,124,460,412,49,118,28,0,8,170,54,14,3,35,7,2,47,11,4,2,0.286,0.351,0.413,0.764,0.346,99,2.01,-0.2
49,김재호,20두SS,457,120,457,401,48,116,15,1,2,139,39,6,2,45,4,1,45,17,2,5,0.289,0.363,0.347,0.709,0.334,95.2,1.97,-0.09
50,유민상,20K1B,455,126,455,390,38,96,23,0,8,143,65,0,0,53,6,1,80,13,2,4,0.246,0.342,0.367,0.709,0.329,89.5,0.49,0.98
,장성우,20KC,455,130,455,400,39,111,15,0,13,165,79,0,0,38,1,0,64,15,10,6,0.278,0.337,0.413,0.75,0.333,92.1,2.22,0.62
52,김동엽,20삼DH,451,115,451,413,60,129,21,0,20,210,74,4,4,29,4,0,79,14,1,4,0.312,0.36,0.508,0.869,0.385,123.5,2.24,1.59
53,박석민,20N3B,448,123,448,356,58,109,15,0,14,166,63,0,1,75,10,2,62,11,2,4,0.306,0.436,0.466,0.902,0.411,142.6,4.06,2.64
54,박준태,20키CF,443,128,443,347,71,85,13,1,5,115,29,5,1,65,19,0,120,4,9,3,0.245,0.389,0.331,0.721,0.344,101.7,1.88,0.81
55,강진성,20N1B,432,121,432,395,53,122,25,0,12,183,70,9,1,20,9,0,46,11,2,6,0.309,0.351,0.463,0.815,0.364,112,1.81,0.78
56,유한준,20KDH,428,119,428,386,48,108,17,0,11,158,64,0,0,40,0,2,51,9,1,1,0.28,0.347,0.409,0.756,0.345,99.2,0.63,0.83
57,권희동,20NRF,426,123,426,346,67,90,16,0,12,142,50,3,0,58,11,0,72,6,6,5,0.26,0.379,0.41,0.789,0.36,109.3,1.98,1.68
58,박세혁,20두C,423,124,423,360,47,97,18,2,4,131,51,5,3,35,12,0,45,7,9,7,0.269,0.348,0.364,0.712,0.326,90.7,1.76,1.06
59,최원준,20KCF,412,123,412,359,72,117,16,6,2,151,35,14,3,33,6,0,35,1,9,5,0.326,0.387,0.421,0.808,0.365,113.4,2.5,2.31
60,전병우,20키3B,402,119,402,359,46,85,13,3,8,128,48,7,0,37,2,0,100,7,2,2,0.237,0.31,0.357,0.667,0.307,77.8,0.71,0.2
61,강민호,20삼C,393,119,393,355,46,102,14,0,19,173,61,0,0,31,4,2,54,17,0,3,0.287,0.349,0.487,0.836,0.37,113.2,3.02,0.55
62,김성현,20SSS,392,133,392,343,34,93,9,1,2,110,25,1,1,30,5,0,27,10,11,3,0.271,0.336,0.321,0.657,0.304,73.9,0.5,-1.33
63,박경수,20K2B,391,119,391,324,33,91,17,0,13,147,59,0,1,48,9,2,96,14,3,7,0.281,0.381,0.454,0.835,0.374,118.7,2.39,0.77
64,최재훈,20한C,389,126,389,339,46,102,19,0,3,130,36,0,0,29,16,0,44,7,5,0,0.301,0.383,0.383,0.766,0.358,111.1,2.77,0.51
65,노시환,20한3B,387,107,387,346,46,76,18,2,12,134,43,0,1,33,6,1,116,8,1,1,0.22,0.298,0.387,0.685,0.31,78.6,0.84,-2.1
66,박병호,20키1B,383,93,383,309,56,69,7,0,21,139,66,0,0,57,9,2,114,8,0,8,0.223,0.353,0.45,0.802,0.357,115.6,1.81,0.5
67,박동원,20키C,372,112,372,324,45,81,21,0,12,138,50,0,0,38,6,0,68,10,2,2,0.25,0.338,0.426,0.764,0.345,104.4,2.24,0.23
68,정주현,20L2B,371,134,371,328,50,81,10,4,4,111,30,8,7,29,3,0,63,6,9,2,0.247,0.312,0.338,0.651,0.297,71,0.03,-0.59
69,김준태,20롯C,369,128,369,306,38,69,12,2,5,100,43,2,2,56,1,0,64,5,3,3,0.225,0.344,0.327,0.671,0.318,81.6,0.95,0.11
70,허정협,20키LF,360,111,360,314,45,84,12,0,10,126,43,0,0,40,2,0,73,7,3,1,0.268,0.353,0.401,0.754,0.346,104.5,1.29,1.38
71,이천웅,20LCF,359,89,359,312,44,80,11,2,3,104,36,8,5,35,4,0,44,7,2,6,0.256,0.333,0.333,0.667,0.313,81.6,0.57,-0.87
72,김선빈,20K2B,351,85,351,303,42,100,19,0,1,122,37,1,1,40,2,0,43,12,1,5,0.33,0.406,0.403,0.808,0.378,121.2,2.26,1.07
73,민병헌,20롯CF,342,109,342,309,42,72,12,0,2,90,23,10,6,21,5,1,62,12,5,2,0.233,0.291,0.291,0.582,0.271,50.7,-0.69,-2.24
74,김민성,20L3B,333,87,333,297,29,79,20,0,5,114,47,2,1,24,4,2,66,8,4,4,0.266,0.325,0.384,0.709,0.319,87.7,0.96,-0.3
75,노수광,20S한CF,330,100,330,291,39,73,10,3,1,92,21,11,7,34,2,2,64,2,2,1,0.251,0.332,0.316,0.649,0.306,76.5,0.22,-0.77
76,김강민,20SCF,327,122,327,289,39,73,11,1,12,122,45,7,5,27,4,2,62,10,5,2,0.253,0.323,0.422,0.745,0.329,88,0.93,0.17
77,정진호,20한LF,326,113,326,282,30,78,14,1,2,100,19,9,7,29,3,1,50,5,10,2,0.277,0.348,0.355,0.703,0.32,85.8,0.33,-0.84
78,이형종,20LRF,323,81,323,287,41,85,17,2,17,157,50,1,0,27,7,1,61,7,0,2,0.296,0.368,0.547,0.916,0.401,146.4,2.72,0.05
79,반즈,20한1B,319,74,319,283,38,75,17,1,9,121,42,2,1,27,7,1,81,4,0,2,0.265,0.342,0.428,0.769,0.349,104.5,1.23,0.31
80,정은원,20한2B,303,79,303,254,28,63,9,2,3,85,29,1,1,41,5,0,41,4,2,1,0.248,0.362,0.335,0.697,0.332,94.1,0.92,-0.2
81,송광민,20한3B,298,94,298,277,31,65,12,0,9,104,43,0,0,14,3,1,69,17,1,3,0.235,0.276,0.375,0.652,0.291,66.5,-0.19,-1.29
82,이지영,20키C,289,101,289,262,22,81,10,2,0,95,36,1,1,19,4,1,28,8,3,1,0.309,0.364,0.363,0.726,0.338,95.5,1.14,0.37
83,고종욱,20SLF,288,92,288,272,24,77,9,3,3,101,26,1,3,14,1,0,55,3,0,1,0.283,0.319,0.371,0.691,0.319,83.6,0.02,-0.46
84,김지찬,20삼2B,287,135,287,254,47,59,5,1,1,69,13,21,4,24,2,0,44,1,5,2,0.232,0.301,0.272,0.573,0.272,53.4,0.12,-1.61
85,김헌곤,20삼RF,283,97,283,254,26,63,8,0,3,80,34,7,5,22,3,0,31,7,1,3,0.248,0.312,0.315,0.627,0.295,67.7,-0.3,-1.15
86,하주석,20한SS,281,72,281,262,22,75,11,0,2,92,32,4,1,13,2,0,66,3,2,2,0.286,0.323,0.351,0.674,0.312,81,0.83,-0.5
87,김태진,20NK3B,280,82,280,263,28,62,5,1,1,72,23,7,4,13,1,0,45,2,2,1,0.236,0.273,0.274,0.547,0.258,42.5,-1.01,-0.57
88,러셀,20키2B,271,65,271,244,22,62,14,0,2,82,31,2,0,22,2,1,37,6,0,3,0.254,0.317,0.336,0.653,0.305,75.1,0.42,-1.03
89,한승택,20KC,262,83,262,226,22,51,6,0,9,84,29,0,0,21,6,0,58,7,9,0,0.226,0.308,0.372,0.68,0.303,72.3,0.52,-0.17
90,오태곤,20KSLF,258,94,258,234,36,64,12,1,5,93,35,15,6,13,7,0,47,6,4,0,0.274,0.331,0.397,0.728,0.33,89.5,0.79,0.08
91,김태균,20한1B,254,67,254,219,14,48,11,0,2,65,29,0,0,30,2,3,42,8,1,2,0.219,0.316,0.297,0.613,0.288,64.7,-0.53,-0.5
92,이재원,20SC,251,80,251,222,18,41,8,0,2,55,21,0,0,19,6,3,24,12,3,1,0.185,0.266,0.248,0.514,0.241,31.7,-0.68,-1.48
93,김민혁,20KLF,249,108,249,222,35,53,5,2,5,77,25,8,4,22,2,0,42,4,2,1,0.239,0.312,0.347,0.659,0.304,73.1,-0.16,0.86
94,이성열,20한DH,248,79,248,227,23,46,5,0,8,75,34,1,1,16,5,0,69,4,0,0,0.203,0.27,0.33,0.601,0.277,57.5,-0.94,-1.13
95,이성규,20삼1B,245,98,245,216,25,39,7,1,10,78,30,3,1,18,5,0,64,7,4,2,0.181,0.257,0.361,0.618,0.274,50.7,-0.91,-1.73
96,이학주,20삼SS,243,64,243,206,30,47,11,0,4,70,28,6,2,26,2,1,58,3,4,5,0.228,0.314,0.34,0.654,0.298,68.6,0.37,-0.22
97,최진행,20한DH,240,84,240,214,23,50,5,0,8,79,30,0,0,18,5,0,59,11,0,3,0.234,0.304,0.369,0.673,0.309,78,-0.08,-0.59
98,강경학,20한2B,238,94,238,193,25,44,7,1,4,65,19,1,2,35,3,0,64,2,5,2,0.228,0.352,0.337,0.689,0.322,86.8,0.4,0.57
99,김민식,20KC,237,69,237,210,22,52,6,1,2,66,21,0,0,17,2,0,28,3,6,2,0.248,0.307,0.314,0.622,0.286,61.1,0.09,-0.36
100,박용택,20LDH,236,97,236,217,22,65,15,0,2,86,35,2,0,15,0,1,34,7,0,4,0.3,0.339,0.396,0.735,0.335,97.1,0.38,0.08
101,김웅빈,20키1B,235,73,235,207,25,57,13,0,8,94,31,1,0,17,3,1,65,6,5,3,0.275,0.335,0.454,0.789,0.344,104.1,0.74,0.14
102,한유섬,20SRF,231,62,231,193,35,48,5,0,15,98,31,2,0,30,6,1,49,8,0,2,0.249,0.364,0.508,0.871,0.383,121.2,1.31,0.56
103,김성욱,20NRF,225,104,225,195,32,43,4,1,8,73,26,12,5,17,4,0,40,0,7,2,0.221,0.294,0.374,0.668,0.295,65.6,-0.13,-0.13
104,나주환,20K3B,222,64,222,204,21,57,5,0,6,80,26,0,0,12,1,0,44,6,4,1,0.279,0.321,0.392,0.713,0.32,83.6,0.52,-0.47
,오선진,20한SS,222,93,222,197,17,46,4,0,2,56,17,0,1,16,3,0,39,10,6,0,0.234,0.301,0.284,0.585,0.274,55.6,-0.13,-1.03
106,팔카,20삼DH,217,51,217,196,17,41,7,0,8,72,23,2,0,18,0,0,58,5,0,3,0.209,0.272,0.367,0.639,0.288,60.3,-0.65,-0.64
107,최준우,20S2B,207,66,207,182,23,43,4,0,3,56,14,1,1,19,0,0,28,3,5,1,0.236,0.307,0.308,0.615,0.285,60.2,-0.18,-0.59
108,정의윤,20SDH,203,76,203,187,13,45,5,1,1,55,20,0,1,12,1,1,38,7,0,3,0.241,0.286,0.294,0.58,0.27,51.9,-0.78,-0.98
