순,이름,팀,정렬,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,비율,,,,,,WAR*,WPA
,,,타석,,,,,,,,,,,,,,,,,,,,타율,출루,장타,OPS,wOBA,wRC+,,
1,페르난데스,20두DH,668,144,668,586,104,199,29,0,21,291,105,0,1,58,13,1,42,26,0,11,0.34,0.404,0.497,0.901,0.406,146.3,4.39,4.31
2,터커,20KRF,631,142,631,542,100,166,40,0,32,302,113,0,2,76,9,3,67,12,0,4,0.306,0.398,0.557,0.955,0.42,149.9,5.76,2.4
3,로하스,20KRF,628,142,628,550,116,192,39,1,47,374,135,0,1,65,5,5,132,11,0,8,0.349,0.417,0.68,1.097,0.467,180.5,7.76,7.29
,전준우,20롯LF,628,143,628,562,95,157,34,1,26,271,96,5,5,52,8,0,79,21,3,3,0.279,0.347,0.482,0.829,0.368,113.3,3.06,1.75
5,김하성,20키SS,622,138,622,533,111,163,24,1,30,279,109,23,2,75,8,3,68,12,3,3,0.306,0.397,0.523,0.921,0.407,147,6.83,4.22
6,김현수,20LLF,619,142,619,547,98,181,35,2,22,286,119,0,2,63,2,7,53,9,0,7,0.331,0.397,0.523,0.92,0.407,148.2,5.29,5.17
7,이정후,20키RF,617,140,617,544,85,181,49,5,15,285,101,12,2,59,4,6,47,16,2,8,0.333,0.397,0.524,0.921,0.406,142.8,5.56,3.81
8,배정대,20KCF,615,144,615,533,88,154,25,3,13,224,65,22,13,68,5,0,142,9,5,4,0.289,0.372,0.42,0.792,0.362,110.3,3.55,0.95
9,김재환,20두LF,613,140,613,515,82,137,26,1,30,255,113,6,0,91,1,3,154,14,0,6,0.266,0.374,0.495,0.869,0.385,135,4.68,2.33
10,손아섭,20롯RF,611,141,611,540,98,190,43,0,11,266,85,5,0,61,2,4,56,9,1,7,0.352,0.415,0.493,0.907,0.409,140.1,4.92,4.57
,이대호,20롯DH,611,144,611,542,67,158,27,0,20,245,110,1,0,53,5,9,68,21,0,11,0.292,0.354,0.452,0.806,0.357,106.1,1.02,3.56
12,최형우,20KDH,600,140,600,522,93,185,37,1,28,308,115,0,0,70,5,5,101,9,0,3,0.354,0.433,0.59,1.023,0.45,169.6,5.77,7.2
,황재균,20K3B,600,134,600,541,108,169,35,5,21,277,97,11,6,47,5,0,98,12,3,4,0.312,0.37,0.512,0.882,0.391,129.7,5.14,3.52
14,서건창,20키DH,595,135,595,484,79,134,28,5,5,187,52,24,10,91,5,1,58,8,5,10,0.277,0.39,0.386,0.776,0.361,111.4,2.18,1.19
15,오지환,20LSS,591,141,591,527,95,158,41,7,10,243,71,20,8,45,9,1,116,4,5,5,0.3,0.362,0.461,0.823,0.368,119.7,4.4,1.21
16,로맥,20S1B,586,139,586,485,85,137,32,0,32,265,91,4,2,91,6,5,116,5,0,4,0.282,0.399,0.546,0.946,0.414,142.7,4.38,4.31
17,나성범,20NDH,584,130,584,525,115,170,37,2,34,313,112,3,1,49,9,2,148,6,0,1,0.324,0.39,0.596,0.987,0.43,153.5,5.18,4.3
18,강백호,20K1B,574,129,574,500,95,165,36,1,23,272,89,7,2,66,5,9,93,7,0,3,0.33,0.411,0.544,0.955,0.421,149.3,4.75,3.13
19,최주환,20두2B,573,140,573,508,63,155,29,4,16,240,86,2,2,47,7,5,66,7,1,10,0.305,0.365,0.472,0.838,0.372,123.5,4,1.7
20,마차도,20롯SS,560,144,560,486,79,136,31,1,12,205,67,15,1,54,8,2,60,20,4,8,0.28,0.356,0.422,0.778,0.351,102.5,3.24,1.71
21,정수빈,20두CF,559,141,559,490,84,146,17,8,5,194,59,15,6,55,2,3,56,10,7,5,0.298,0.368,0.396,0.764,0.348,104.2,2.95,1.48
22,나지완,20KLF,556,137,556,468,73,136,19,1,17,208,92,0,0,64,18,1,114,6,0,6,0.291,0.392,0.444,0.837,0.383,125,3.13,4.11
23,최정,20S3B,553,133,553,452,90,122,22,0,33,243,96,8,3,75,20,1,98,7,0,6,0.27,0.392,0.538,0.93,0.409,138.8,4.92,4.52
,김혜성,20키2B,553,142,553,499,80,142,24,6,7,199,61,25,7,46,2,0,94,6,2,4,0.285,0.345,0.399,0.744,0.341,98.7,2.72,1.38
25,박건우,20두RF,551,129,551,487,103,148,40,0,14,230,70,8,2,42,12,2,65,9,3,7,0.304,0.369,0.472,0.841,0.375,126.3,3.77,1.67
26,알테어,20NCF,546,136,546,482,90,134,20,7,31,261,108,22,3,46,12,3,149,10,0,6,0.278,0.352,0.541,0.893,0.387,124.8,4.43,2.78
27,박해민,20삼CF,541,132,541,489,84,142,18,5,11,203,55,34,12,39,3,1,77,7,7,3,0.29,0.345,0.415,0.76,0.342,98.1,2.49,-0.11
28,이명기,20NLF,540,136,540,477,82,146,18,3,2,176,45,12,7,50,4,0,78,6,5,4,0.306,0.374,0.369,0.743,0.347,102,1.71,1
29,심우준,20KSS,535,144,535,476,58,112,16,3,3,143,51,35,11,37,2,0,98,7,16,4,0.235,0.291,0.3,0.591,0.271,50.3,-0.08,-2.65
30,오재일,20두1B,534,127,534,471,62,147,32,0,16,227,89,2,1,61,0,1,92,12,0,2,0.312,0.39,0.482,0.872,0.394,138.6,3.56,1.35
31,한동희,20롯3B,531,135,531,461,62,128,22,0,17,201,67,0,3,57,5,0,97,15,5,3,0.278,0.361,0.436,0.797,0.36,108.5,2.47,0.4
32,박민우,20N2B,530,126,530,467,82,161,27,5,8,222,63,13,6,36,15,2,48,12,2,10,0.345,0.402,0.475,0.877,0.396,132.8,4.48,1.46
,박찬호,20KSS,530,141,530,479,63,106,16,0,3,131,36,15,8,36,0,0,87,14,12,3,0.221,0.274,0.273,0.548,0.254,40.3,-1.13,-1.96
34,양의지,20NC,528,130,528,461,86,151,26,1,33,278,124,5,2,46,14,7,47,11,1,6,0.328,0.4,0.603,1.003,0.432,154.3,6,3.68
35,최지훈,20SRF,520,127,520,466,66,120,19,5,1,152,27,18,6,38,5,0,80,4,8,3,0.258,0.318,0.326,0.645,0.299,71.5,0.39,-2.51
36,구자욱,20삼LF,510,118,510,446,70,137,27,2,15,213,78,19,5,51,8,3,91,4,1,4,0.307,0.385,0.478,0.863,0.387,126.6,3.39,4.53
37,홍창기,20LCF,507,135,507,408,87,114,29,6,5,170,39,11,5,83,10,1,87,8,3,3,0.279,0.411,0.417,0.827,0.384,129.3,3.91,2.81
38,라모스,20L1B,494,117,494,431,74,120,17,2,38,255,86,2,0,55,4,5,136,7,0,4,0.278,0.362,0.592,0.954,0.407,153.2,4.33,2.45
39,이용규,20한CF,487,120,487,419,60,120,14,2,1,141,32,17,8,59,6,0,36,9,2,1,0.286,0.381,0.337,0.718,0.345,102.8,2.21,1.07
,허경민,20두3B,487,117,487,437,70,145,25,1,7,193,58,14,6,35,5,2,28,10,3,7,0.332,0.382,0.442,0.824,0.373,122.6,3.55,1.58
41,노진혁,20NSS,484,132,484,427,70,117,22,3,20,205,82,0,4,49,5,3,106,8,3,0,0.274,0.356,0.48,0.836,0.37,114.4,3.32,1.41
42,조용호,20KLF,482,132,482,409,73,121,15,0,0,136,32,12,3,64,2,1,83,6,5,2,0.296,0.392,0.333,0.725,0.347,99.8,1.49,1.84
43,유강남,20LC,478,137,478,429,51,112,18,0,16,178,74,1,1,32,13,1,84,18,2,2,0.261,0.33,0.415,0.745,0.337,101.5,2.89,0.77
44,정훈,20롯CF,476,111,476,410,72,121,19,1,11,175,58,11,1,56,4,0,85,8,2,4,0.295,0.382,0.427,0.809,0.371,115.8,2.68,1.87
45,김상수,20삼2B,471,120,471,404,71,123,18,3,5,162,47,10,3,55,8,1,55,16,2,2,0.304,0.397,0.401,0.798,0.372,118.5,3.27,0.76
46,이원석,20삼3B,467,121,467,403,46,108,17,0,13,164,74,0,1,49,2,1,82,7,1,12,0.268,0.341,0.407,0.748,0.338,94.3,1.29,0.22
47,채은성,20LRF,464,109,464,416,59,122,17,2,15,188,88,0,3,32,9,1,69,12,0,7,0.293,0.351,0.452,0.803,0.361,116.7,2.07,-0.14
