순,이름,팀,정렬,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,비율,,,,,,WAR*,WPA
61,노진혁,21NSS,384,107,384,330,41,95,22,0,8,141,58,1,1,42,5,0,90,3,4,3,0.288,0.374,0.427,0.801,0.372,120.4,2.9,0.75
62,김헌곤,21삼LF,364,118,364,317,38,89,8,2,4,113,27,5,4,34,5,0,46,9,3,5,0.281,0.355,0.356,0.711,0.338,98.1,1.14,-1.03
63,정수빈,21두CF,351,104,351,313,50,81,19,4,3,117,37,12,7,29,3,1,50,7,4,2,0.259,0.326,0.374,0.7,0.325,91.6,1.47,-0.07
64,강승호,21두2B,340,113,340,301,47,72,16,2,7,113,37,8,2,22,6,1,78,8,8,3,0.239,0.301,0.375,0.677,0.307,81.8,0.94,-0.93
65,장운호,21한RF,338,102,338,285,36,67,10,0,0,77,28,3,6,36,7,0,77,7,7,3,0.235,0.332,0.27,0.603,0.295,71,-0.3,-1.65
66,김지찬,21삼SS,336,120,336,296,50,81,6,0,1,90,26,23,4,27,0,0,31,0,10,3,0.274,0.331,0.304,0.635,0.3,73.4,0.9,0.08
,유한준,21KDH,336,104,336,281,30,87,16,0,5,118,42,1,0,44,7,5,34,12,0,4,0.31,0.411,0.42,0.831,0.389,130.5,1.87,1.27
68,문보경,21L1B,329,107,329,278,37,64,11,1,8,101,39,3,1,46,0,1,64,5,3,2,0.23,0.337,0.363,0.701,0.329,97.1,1.06,0.79
69,류지혁,21K3B,327,92,327,273,37,76,8,0,2,90,34,0,0,42,7,1,46,7,2,3,0.278,0.385,0.33,0.714,0.348,104.4,1.27,-0.08
70,박준영,21N3B,315,111,315,273,37,57,7,2,8,92,31,4,3,27,10,0,92,9,3,2,0.209,0.301,0.337,0.638,0.302,73,0.43,-2.04
71,이재원,21SC,313,107,313,271,29,76,13,0,3,98,30,0,2,29,5,4,47,14,6,2,0.28,0.358,0.362,0.72,0.334,95.2,1.5,0.18
72,황대인,21K1B,308,86,308,282,30,67,10,1,13,118,45,0,0,18,2,0,62,8,1,5,0.238,0.283,0.418,0.702,0.317,85.1,0.11,0.01
73,김민식,21KC,301,100,301,250,30,55,8,0,3,72,26,0,0,41,4,1,49,2,3,3,0.22,0.336,0.288,0.624,0.305,75.7,0.62,-0.34
74,추재현,21롯CF,300,95,300,262,37,66,15,0,5,96,26,4,3,26,7,0,57,3,5,0,0.252,0.336,0.366,0.702,0.329,90.1,0.64,-0.53
75,호잉,21KRF,294,68,294,259,32,62,11,1,11,108,52,5,2,26,4,2,52,2,0,5,0.239,0.313,0.417,0.73,0.332,93.5,0.76,-0.01
76,이창진,21KCF,293,105,293,249,35,52,8,1,3,71,33,5,0,36,1,0,54,10,4,3,0.209,0.308,0.285,0.593,0.287,63.8,-0.19,-1.06
77,송우현,21키RF,282,69,282,250,34,74,17,2,3,104,42,1,1,28,2,1,49,4,1,1,0.296,0.37,0.416,0.786,0.368,117.4,1.51,0.62
78,이형종,21LDH,281,90,281,239,32,52,11,0,10,93,34,3,1,34,7,1,65,10,1,0,0.218,0.332,0.389,0.721,0.338,104.8,0.93,-2.58
79,박경수,21K2B,280,118,280,239,24,46,10,0,9,83,33,0,1,34,3,2,76,7,4,0,0.192,0.301,0.347,0.648,0.301,72.4,0.1,-0.95
80,김웅빈,21키3B,278,97,278,231,23,55,13,1,5,85,34,1,1,34,9,2,73,2,2,2,0.238,0.355,0.368,0.723,0.341,101.6,0.78,0.26
81,김태군,21NC,276,102,276,232,23,51,7,0,7,79,24,0,1,21,11,0,30,4,9,3,0.22,0.311,0.341,0.651,0.301,72.8,0.63,-0.39
82,김성현,21S2B,274,110,274,237,27,67,15,0,6,100,37,5,2,29,0,0,29,8,4,4,0.283,0.356,0.422,0.778,0.357,109.8,1.65,1.24
,송성문,21키3B,274,66,274,245,30,61,10,1,6,91,33,0,0,25,1,0,42,2,2,1,0.249,0.32,0.371,0.691,0.323,90.2,0.94,0.26
84,박세혁,21두C,270,96,270,237,25,52,12,0,0,64,30,4,2,22,5,0,43,6,3,3,0.219,0.296,0.27,0.566,0.275,57.8,0.24,-1.05
85,힐리,21한1B,268,67,268,249,27,64,11,1,7,98,37,2,1,16,2,0,58,6,0,1,0.257,0.306,0.394,0.7,0.325,91,0.35,-0.57
86,전병우,21키3B,260,114,260,213,35,40,8,0,6,66,31,3,1,33,9,0,82,0,4,1,0.188,0.32,0.31,0.63,0.304,78.4,0.44,-0.2
,김강민,21SCF,260,122,260,223,43,53,12,1,8,91,27,3,3,25,6,1,52,3,3,3,0.238,0.327,0.408,0.735,0.336,95.1,0.88,-0.65
88,강한울,21삼3B,258,124,258,223,25,58,5,0,0,63,27,2,2,29,0,0,58,5,3,3,0.26,0.341,0.283,0.624,0.305,77.6,0.19,-0.26
89,이지영,21키C,257,108,257,232,29,63,5,1,0,70,30,3,1,19,1,2,17,10,2,3,0.272,0.326,0.302,0.627,0.299,71.1,0.33,-0.87
90,오태곤,21S1B,253,122,253,235,47,63,10,0,9,100,35,9,4,14,2,0,52,4,1,1,0.268,0.314,0.426,0.739,0.339,97,0.81,-0.33
91,페레즈,21한1B,252,59,252,225,26,60,15,1,5,92,33,4,5,17,4,0,52,4,0,6,0.267,0.321,0.409,0.73,0.337,98.6,0.69,-0.5
92,김재호,21두SS,251,89,251,211,23,44,8,0,1,55,24,1,1,29,2,0,34,7,6,3,0.209,0.306,0.261,0.567,0.275,58.2,-0.02,-1.73
93,알몬테,21KLF,249,60,249,224,18,61,9,0,7,91,36,1,0,22,1,0,49,9,0,2,0.272,0.337,0.406,0.744,0.347,102.5,0.57,-0.46
94,크레익,21키1B,247,61,247,222,25,55,12,0,6,85,30,0,1,20,4,1,43,4,0,1,0.248,0.32,0.383,0.703,0.328,93.9,0.3,-0.52
95,한승택,21KC,239,82,239,203,17,44,7,0,3,60,16,0,0,28,3,0,61,6,5,0,0.217,0.321,0.296,0.616,0.297,70.2,0.59,-1.16
96,최정원,21N2B,238,72,238,212,40,60,4,2,0,68,8,10,7,18,4,0,40,0,4,0,0.283,0.35,0.321,0.671,0.322,88.4,0.8,-0.6
97,이명기,21NLF,232,56,232,191,30,56,12,0,2,74,14,5,3,37,1,0,27,2,3,0,0.293,0.411,0.387,0.798,0.381,126.6,1.38,1.03
98,안재석,21두SS,224,96,224,200,28,51,8,2,2,69,14,1,0,16,4,0,53,4,0,4,0.255,0.317,0.345,0.662,0.314,83.8,0.79,-1.02
,김민수,21롯2B,224,83,224,199,19,48,11,1,3,70,25,0,0,18,3,0,62,4,3,1,0.241,0.312,0.352,0.664,0.311,77.8,0.15,-1.37
100,김태연,21한3B,220,53,220,176,29,53,12,0,3,74,34,5,3,34,5,0,44,4,0,5,0.301,0.418,0.42,0.839,0.397,138.8,1.91,1.99
101,박민우,21N2B,215,50,215,180,30,47,5,3,1,61,18,12,3,22,7,0,23,4,4,2,0.261,0.36,0.339,0.699,0.333,94.8,0.83,-0.5
102,정주현,21L2B,214,73,214,181,26,43,7,1,3,61,10,3,3,24,0,0,32,4,9,0,0.238,0.327,0.337,0.664,0.306,79.7,0.43,-0.7
103,장승현,21두C,211,92,211,177,18,41,10,0,2,57,27,0,0,19,8,0,50,2,6,1,0.232,0.332,0.322,0.654,0.31,82.3,0.57,-0.4
,이천웅,21LCF,211,68,211,181,20,36,7,0,2,49,16,3,2,25,3,0,23,11,1,1,0.199,0.305,0.271,0.576,0.284,65.2,0.03,-0.82
105,이성곤,21삼한1B,208,62,208,174,17,46,12,2,1,65,24,1,3,29,3,0,53,4,1,1,0.264,0.377,0.374,0.75,0.359,113.7,0.77,-0.88
106,정진기,21SNLF,206,88,206,193,27,43,8,0,6,69,21,6,3,10,1,0,39,2,2,0,0.223,0.265,0.358,0.622,0.286,62.1,-0.16,-0.26
107,신본기,21K2B,205,96,205,173,25,41,8,0,1,52,19,1,2,22,4,0,44,6,5,1,0.237,0.335,0.301,0.636,0.305,74.7,0.26,-0.52
,박석민,21N3B,205,59,205,171,27,44,8,0,10,82,41,0,0,27,2,1,43,8,3,2,0.257,0.361,0.48,0.841,0.377,121.5,1.32,0.01
,라모스,21L1B,205,51,205,185,14,45,7,1,8,78,25,0,0,18,2,0,43,2,0,0,0.243,0.317,0.422,0.739,0.341,107.1,0.58,-0.15
110,김동엽,21삼LF,203,69,203,185,20,44,9,0,4,65,24,2,1,10,4,0,42,2,0,4,0.238,0.286,0.351,0.637,0.297,70.2,-0.28,-0.53
