순,이름,팀,정렬,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,비율,,,,,,WAR*,WPA
,,,타석,,,,,,,,,,,,,,,,,,,,타율,출루,장타,OPS,wOBA,wRC+,,
1,페르난데스,19두DH,645,144,645,572,87,197,34,0,15,276,88,1,2,61,6,4,54,16,0,6,0.344,0.409,0.483,0.892,0.408,155.2,5.15,3.32
2,이정후,19키LF,630,140,630,574,91,193,31,10,6,262,68,13,7,45,4,0,40,15,3,4,0.336,0.386,0.456,0.842,0.386,135.4,4.92,1.39
3,김하성,19키SS,625,139,625,540,112,166,38,2,19,265,104,33,4,70,7,4,80,12,1,7,0.307,0.389,0.491,0.88,0.397,146.2,7.22,4.52
4,정은원,19한2B,624,142,624,564,83,148,27,6,8,211,57,14,7,48,0,0,101,6,6,6,0.262,0.317,0.374,0.691,0.317,91.9,2.08,0.05
5,샌즈,19키RF,613,139,613,525,100,160,39,1,28,285,113,1,2,77,6,1,101,17,0,5,0.305,0.396,0.543,0.939,0.421,163.6,6.21,3.45
,이천웅,19LCF,613,138,613,546,88,168,24,3,2,204,48,21,10,57,5,1,82,13,4,1,0.308,0.378,0.374,0.751,0.353,114.6,4.01,2.02
7,최정,19S3B,606,141,606,503,86,147,27,0,29,261,99,3,2,69,26,6,92,4,0,8,0.292,0.399,0.519,0.918,0.411,149.3,6.36,3.85
,전준우,19롯LF,606,141,606,545,85,164,30,1,22,262,83,8,2,46,7,2,71,19,1,7,0.301,0.359,0.481,0.839,0.379,130.5,4.24,0.53
9,김현수,19LLF,595,140,595,526,75,160,37,0,11,230,82,3,1,54,6,9,52,11,0,9,0.304,0.37,0.437,0.807,0.366,126.1,3.61,3.29
10,로맥,19S1B,589,137,589,504,86,139,28,1,29,256,95,6,3,73,6,3,117,11,0,6,0.276,0.37,0.508,0.878,0.393,137.1,4.06,1.09
11,박해민,19삼CF,581,144,581,506,64,121,16,7,5,166,44,24,7,58,2,0,82,4,12,3,0.239,0.318,0.328,0.646,0.3,77,1.28,-1.36
12,로하스,19KCF,577,142,577,520,68,167,29,3,24,274,104,4,4,49,3,5,120,4,0,5,0.321,0.38,0.527,0.907,0.405,150.6,5.47,1.3
13,김재환,19두LF,573,136,573,494,76,140,20,5,15,215,91,3,1,63,5,5,113,7,0,11,0.283,0.363,0.435,0.798,0.362,124,3.56,2.53
14,러프,19삼1B,568,133,568,472,80,138,35,2,22,243,101,6,3,80,7,6,87,18,0,9,0.292,0.396,0.515,0.911,0.406,145.9,4.19,1.3
,손아섭,19롯RF,568,134,568,512,78,151,22,1,10,205,63,12,8,52,1,1,92,6,1,2,0.295,0.36,0.4,0.76,0.353,113.8,2.76,1.7
16,유한준,19KDH,562,139,562,501,61,159,19,1,14,222,86,3,0,52,4,1,61,20,0,5,0.317,0.383,0.443,0.826,0.381,133.1,3.44,4.09
17,최형우,19KDH,555,136,555,456,65,137,31,1,17,221,86,0,1,85,7,6,77,13,0,7,0.3,0.413,0.485,0.897,0.406,149.4,4.1,3.05
18,이대호,19롯DH,549,135,549,485,48,138,23,1,16,211,88,0,0,48,9,4,65,19,0,7,0.285,0.355,0.435,0.79,0.36,118.2,1.8,0.94
19,이명기,19KNRF,547,139,547,484,62,142,17,3,2,171,35,14,4,48,4,2,66,12,7,4,0.293,0.359,0.353,0.713,0.332,97.8,2.41,-1.33
,오지환,19LSS,547,134,547,473,63,119,23,5,9,179,53,27,5,57,7,1,113,7,7,3,0.252,0.339,0.378,0.717,0.33,101.1,3.4,0.85
21,김상수,19삼2B,543,129,543,468,76,127,20,2,5,166,38,21,3,50,15,1,67,14,6,4,0.271,0.358,0.355,0.712,0.334,100,2.98,-1.97
22,박찬호,19K3B,541,133,541,504,60,131,15,4,2,160,49,39,6,26,4,0,83,8,5,2,0.26,0.3,0.317,0.618,0.289,68.1,0.88,-0.19
23,허경민,19두3B,540,133,540,475,71,137,25,1,4,176,60,11,5,34,17,2,36,16,3,11,0.288,0.35,0.371,0.721,0.334,102.7,2.47,-0.25
24,박건우,19두RF,537,127,537,458,83,146,27,5,10,213,64,12,3,60,7,0,57,23,1,11,0.319,0.397,0.465,0.863,0.394,144.6,4.71,0.91
25,박병호,19키1B,532,122,532,432,92,121,22,0,33,242,98,0,1,78,13,5,117,7,0,9,0.28,0.399,0.56,0.959,0.422,166.3,5.5,2.21
26,오재일,19두1B,529,130,529,467,76,137,29,1,21,231,102,2,1,55,3,1,99,5,0,4,0.293,0.369,0.495,0.863,0.39,145.5,4.17,4.6
27,구자욱,19삼RF,526,122,526,475,66,127,27,6,15,211,71,11,3,38,7,2,88,5,0,6,0.267,0.327,0.444,0.771,0.348,107.8,1.98,1.16
,박민우,19N2B,526,125,526,468,89,161,23,8,1,203,45,18,7,41,9,1,40,10,2,6,0.344,0.403,0.434,0.836,0.387,134.7,4.66,1.68
29,호잉,19한RF,525,124,525,476,74,135,26,2,18,219,73,22,7,38,5,5,90,6,1,5,0.284,0.34,0.46,0.8,0.359,120.6,3.5,1.69
30,김민혁,19KLF,521,127,521,466,68,131,10,1,0,143,32,22,10,32,13,0,61,8,5,5,0.281,0.341,0.307,0.648,0.309,82.7,1.01,-0.27
31,채은성,19LRF,514,128,514,470,59,148,18,1,12,204,72,2,2,24,12,1,67,9,0,8,0.315,0.358,0.434,0.792,0.363,124.3,3.17,-0.34
32,고종욱,19SLF,513,137,513,492,76,159,25,7,3,207,56,31,10,18,1,1,89,5,0,2,0.323,0.347,0.421,0.768,0.353,115.7,2.28,1.73
,정수빈,19두CF,513,123,513,441,75,117,19,5,0,146,42,26,8,57,6,0,60,6,4,5,0.265,0.354,0.331,0.685,0.325,95,2.08,0.15
34,황재균,19K3B,507,124,507,448,78,127,16,3,20,209,67,10,7,52,2,2,71,10,0,5,0.283,0.357,0.467,0.824,0.373,128.8,3.98,2.15
35,박세혁,19두C,505,137,505,441,58,123,19,9,4,172,63,8,2,41,7,1,68,5,10,6,0.279,0.346,0.39,0.736,0.334,101.6,3.09,1.02
,강백호,19KRF,505,117,505,438,72,147,29,1,13,217,65,9,5,61,2,4,87,11,0,4,0.336,0.416,0.495,0.911,0.415,156,4.69,3.78
37,이재원,19SC,502,139,502,451,33,121,19,0,12,176,75,1,0,34,9,2,59,16,1,7,0.268,0.327,0.39,0.718,0.33,96.1,2.69,0.43
,한유섬,19SRF,502,125,502,427,52,113,20,0,12,169,52,0,1,55,20,4,100,6,0,0,0.265,0.375,0.396,0.77,0.361,117.2,2.13,0.83
