순,이름,팀,정렬,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,비율,,,,,,WAR*,WPA
39,김태균,19한DH,500,127,500,433,47,132,21,0,6,171,62,3,0,54,5,5,94,15,0,8,0.305,0.382,0.395,0.777,0.36,121.7,1.9,0.4
40,박경수,19K2B,490,137,490,421,43,104,24,0,10,158,65,0,1,55,4,1,102,14,4,6,0.247,0.335,0.375,0.711,0.328,97.3,2.16,0.17
41,서건창,19키2B,486,113,486,426,67,128,23,3,2,163,41,17,3,49,3,1,50,5,3,5,0.3,0.373,0.383,0.755,0.352,112.9,2.36,0.1
,송광민,19한3B,486,122,486,454,50,119,21,0,7,161,51,8,2,21,3,0,91,18,3,5,0.262,0.296,0.355,0.651,0.3,79.8,1.04,-1.6
43,이형종,19LLF,482,120,482,419,56,120,24,1,13,185,63,6,5,42,10,1,78,9,1,10,0.286,0.358,0.442,0.799,0.363,125.5,3.02,0.34
44,이성열,19한RF,476,129,476,414,60,106,21,1,21,192,85,8,4,48,9,1,114,7,1,4,0.256,0.343,0.464,0.807,0.364,124.2,2.44,1.76
45,김성현,19SSS,472,144,472,426,45,105,16,2,1,128,34,6,2,33,2,0,43,15,8,3,0.246,0.302,0.3,0.602,0.282,66.2,0.52,-1.99
46,김재호,19두SS,470,130,470,377,51,101,22,0,4,135,48,3,3,67,7,3,58,10,8,11,0.268,0.379,0.358,0.737,0.342,108.5,2.92,-0.2
,이창진,19KCF,470,133,470,400,57,108,25,1,6,153,48,8,8,57,4,0,92,8,4,5,0.27,0.363,0.383,0.745,0.347,108,2.46,-0.85
48,유강남,19LC,468,132,468,418,44,113,22,0,16,183,49,0,0,30,13,2,82,21,1,6,0.27,0.334,0.438,0.772,0.35,117.3,3.38,0
49,김헌곤,19삼LF,467,114,467,411,57,122,20,1,5,159,46,10,8,37,8,1,41,18,5,6,0.297,0.362,0.387,0.748,0.346,107.6,1.69,-0.37
50,김강민,19SCF,460,127,460,422,54,114,14,2,8,156,50,15,8,31,4,3,103,2,0,3,0.27,0.324,0.37,0.694,0.321,90.9,1.65,-0.67
51,양의지,19NC,459,118,459,390,61,138,26,0,20,224,68,4,3,48,15,4,43,13,0,6,0.354,0.438,0.574,1.012,0.452,178.2,6.61,1.88
52,이원석,19삼3B,455,111,455,395,44,97,20,0,19,174,76,2,1,43,8,0,73,10,2,7,0.246,0.327,0.441,0.767,0.346,104.8,1.99,0.89
53,오선진,19한SS,453,122,453,392,37,88,16,0,3,113,36,7,2,38,10,0,72,8,10,3,0.224,0.307,0.288,0.595,0.281,66.7,0.6,-1.28
54,최재훈,19한C,451,135,451,373,47,108,18,0,3,135,31,3,10,56,14,0,61,9,4,4,0.29,0.398,0.362,0.76,0.362,122,3.56,-0.01
55,김선빈,19KSS,447,121,447,394,55,115,22,0,3,146,40,5,4,43,1,0,26,7,5,4,0.292,0.36,0.371,0.73,0.34,103.9,2.27,1.05
56,노수광,19SLF,445,117,445,388,69,97,16,1,2,121,28,27,10,46,2,0,68,1,9,0,0.25,0.333,0.312,0.644,0.304,81,0.58,0.92
57,박석민,19N3B,444,112,444,360,49,96,17,1,19,172,74,1,2,65,12,2,69,17,4,3,0.267,0.393,0.478,0.871,0.393,138.1,3.25,1.42
58,이학주,19삼SS,436,118,436,385,43,101,14,3,7,142,36,15,5,32,10,0,89,3,5,4,0.262,0.332,0.369,0.701,0.324,92.8,1.8,-0.2
59,심우준,19KSS,433,138,433,391,54,109,13,1,3,133,28,24,3,23,6,0,68,7,12,1,0.279,0.328,0.34,0.668,0.307,81.7,1.92,-1.54
60,정주현,19L2B,425,129,425,376,53,87,19,2,2,116,27,15,6,31,1,0,91,10,16,1,0.231,0.291,0.309,0.6,0.273,60.3,0.03,-0.98
61,민병헌,19롯CF,420,101,420,369,52,112,24,2,9,167,43,13,6,42,5,0,55,9,1,3,0.304,0.38,0.453,0.832,0.382,133,3.52,0.1
62,정의윤,19SDH,419,110,419,380,44,107,24,0,13,170,59,0,0,30,6,1,60,9,0,2,0.282,0.342,0.447,0.79,0.359,116.1,1.71,0.47
,임병욱,19키CF,419,117,419,379,39,92,17,5,0,119,41,10,2,23,11,0,110,6,6,0,0.243,0.305,0.314,0.619,0.29,69.5,0.6,0.33
64,신본기,19롯SS,413,121,413,375,43,96,9,0,1,108,26,3,3,24,8,1,62,9,5,1,0.256,0.314,0.288,0.602,0.286,68.4,0.6,-1.68
,권희동,19NRF,413,116,413,348,37,89,17,0,6,124,41,3,0,50,7,1,60,10,5,3,0.256,0.358,0.356,0.714,0.334,99.2,1.3,0.18
,장성우,19KC,413,127,413,366,25,96,7,0,7,124,41,0,1,35,2,2,86,11,4,6,0.262,0.325,0.339,0.664,0.308,82.7,1.28,-1.94
,장영석,19키3B,413,119,413,372,41,92,15,0,7,128,62,0,0,27,9,0,77,14,0,5,0.247,0.31,0.344,0.654,0.307,83.7,0.55,0.11
68,안치홍,19K2B,408,105,408,362,45,114,18,1,5,149,49,4,2,40,1,1,37,9,0,5,0.315,0.38,0.412,0.792,0.368,122.5,2.81,0.93
69,김민성,19L3B,401,107,401,361,44,94,16,0,8,134,50,2,1,30,4,0,75,12,5,1,0.26,0.323,0.371,0.694,0.32,94.8,1.68,0.43
70,김태진,19NLF,399,123,399,374,44,103,14,5,5,142,46,12,4,16,1,0,67,3,5,3,0.275,0.305,0.38,0.684,0.311,82.6,0.49,-1.28
,터커,19KRF,399,95,399,357,50,111,33,0,9,171,50,0,0,38,3,0,44,12,0,1,0.311,0.381,0.479,0.86,0.393,140.4,3.21,0.56
72,강민호,19삼C,393,112,393,346,36,81,20,0,13,140,45,0,0,33,9,2,76,9,2,3,0.234,0.315,0.405,0.719,0.327,92.2,1.84,0.46
73,오태곤,19KDH,391,122,391,351,63,88,16,1,6,124,35,19,2,31,4,0,78,8,3,2,0.251,0.317,0.353,0.67,0.312,85.7,0.61,0.15
74,노진혁,19NSS,390,110,390,348,51,92,23,2,13,158,43,0,1,31,2,2,80,7,6,3,0.264,0.326,0.454,0.78,0.345,105.8,2.34,-0.48
75,김혜성,19키2B,387,122,387,348,57,96,17,6,0,125,32,20,3,29,2,1,85,4,4,4,0.276,0.332,0.359,0.691,0.319,88.5,1.93,0.25
76,모창민,19N1B,386,101,386,341,49,104,21,2,10,159,55,3,2,31,3,1,62,8,0,11,0.305,0.358,0.466,0.824,0.371,123.1,1.98,0.47
77,김주찬,19K1B,363,100,363,337,35,101,16,0,3,126,32,3,1,17,5,3,44,6,1,3,0.3,0.34,0.374,0.714,0.33,96.3,0.69,-0.46
78,박동원,19키C,361,112,361,317,50,94,15,1,10,141,55,1,0,34,2,0,56,10,7,1,0.297,0.367,0.445,0.812,0.367,125.5,2.94,1.37
79,장진혁,19한CF,349,113,349,315,42,80,16,5,1,109,24,13,5,26,5,0,74,4,2,1,0.254,0.32,0.346,0.666,0.312,88.5,0.63,-0.72
80,송성문,19키3B,335,103,335,308,33,70,12,5,3,101,34,2,1,19,0,0,53,7,4,4,0.227,0.269,0.328,0.597,0.272,57.8,-0.14,-1.76
81,김성욱,19NCF,333,116,333,287,38,66,16,1,9,111,36,6,4,29,3,1,69,4,9,5,0.23,0.303,0.387,0.689,0.306,79.4,0.61,-0.28
82,이지영,19키C,331,106,331,308,40,87,5,1,1,97,39,5,1,15,1,1,28,14,6,1,0.282,0.317,0.315,0.632,0.293,73.3,0.89,-1.51
83,최주환,19두2B,325,87,325,285,27,79,13,0,4,104,47,0,0,28,1,0,35,10,0,11,0.277,0.332,0.365,0.697,0.323,95.6,0.77,-0.87
84,류지혁,19두SS,316,118,316,276,36,69,6,2,0,79,34,18,5,24,7,0,40,6,6,3,0.25,0.323,0.286,0.609,0.289,70.1,0.53,0.14
85,강로한,19롯2B,306,104,306,288,38,69,15,6,4,108,25,7,1,13,3,0,107,3,1,1,0.24,0.279,0.375,0.654,0.298,76.1,0.71,-0.08
86,정근우,19한CF,305,88,305,277,37,77,10,1,3,98,30,8,5,20,4,1,43,11,3,1,0.278,0.334,0.354,0.688,0.32,94.3,0.76,-0.5
87,한승택,19KC,288,105,288,251,22,56,9,1,3,76,27,1,0,27,1,1,82,8,7,2,0.223,0.299,0.303,0.602,0.278,61,0.25,-0.5
88,이원재,19N1B,285,94,285,256,31,66,11,0,8,101,36,1,2,20,1,0,47,5,5,3,0.258,0.311,0.395,0.705,0.318,87.5,0.14,-0.51
89,최영진,19삼3B,275,96,275,251,29,63,15,1,5,95,20,4,1,14,2,2,47,4,8,0,0.251,0.296,0.378,0.674,0.299,75,0.24,-1.26
90,윌슨,19롯3B,268,68,268,231,21,58,15,0,9,100,37,0,2,31,5,0,60,8,0,1,0.251,0.351,0.433,0.784,0.361,118.3,1.35,0.73
91,이상호,19N2B,256,102,256,234,30,65,7,0,0,72,12,10,5,9,2,0,22,10,8,3,0.278,0.307,0.308,0.614,0.281,63.3,-0.2,-1.34
92,최원준,19K3B,255,90,255,232,33,46,11,3,1,66,18,8,4,16,4,0,51,4,2,1,0.198,0.261,0.284,0.545,0.256,46.1,-0.66,-1.6
93,김규민,19키LF,250,94,250,222,33,55,8,1,3,74,24,2,4,22,4,0,68,4,0,2,0.248,0.324,0.333,0.657,0.312,86.3,0.29,-0.62
94,나주환,19S2B,245,94,245,225,14,50,9,0,3,68,20,1,2,12,3,0,54,6,4,1,0.222,0.27,0.302,0.572,0.265,53.1,-0.51,-1.91
,박승욱,19SK1B,245,101,245,223,24,52,3,4,3,72,15,4,1,14,2,0,50,5,6,0,0.233,0.285,0.323,0.607,0.278,62.3,-0.52,-1.99
96,오윤석,19롯1B,228,76,228,198,21,44,2,0,1,49,21,0,0,20,2,1,43,4,4,4,0.222,0.295,0.247,0.542,0.258,49.6,-0.67,-0.56
,스몰린스키,19NRF,228,55,228,205,32,47,14,1,9,90,42,3,1,16,5,0,31,7,0,2,0.229,0.298,0.439,0.737,0.332,96.9,0.6,0.78
98,베탄코트,19NRF,224,53,224,203,23,50,8,0,8,82,29,1,1,18,1,0,51,1,0,2,0.246,0.308,0.404,0.712,0.326,92.4,0.49,-1.58
99,정훈,19롯1B,222,88,222,190,26,43,4,1,2,55,17,4,3,23,5,1,47,4,3,1,0.226,0.324,0.289,0.614,0.293,73.2,-0.06,-0.59
100,조셉,19L1B,217,55,217,197,17,54,3,0,9,84,36,0,1,14,4,0,46,3,0,2,0.274,0.332,0.426,0.758,0.347,115.9,0.93,0.07
101,박용택,19LDH,215,64,215,195,19,55,9,0,1,67,22,3,1,18,0,1,30,3,0,2,0.282,0.34,0.344,0.683,0.321,93,0.35,-0.85
102,페게로,19L1B,214,52,214,199,24,57,10,0,9,94,44,2,1,12,2,0,63,2,0,1,0.286,0.332,0.472,0.804,0.364,127.6,1.24,1.8
103,조용호,19KRF,211,87,211,188,15,55,6,3,0,67,19,3,4,21,0,0,28,0,2,0,0.293,0.364,0.356,0.72,0.339,102.9,0.53,0.17
,김동엽,19삼DH,211,60,211,195,15,42,4,1,6,66,25,2,1,12,2,0,47,2,0,2,0.215,0.265,0.338,0.604,0.279,60.7,-0.84,0.08
105,김용의,19L1B,210,114,210,179,35,39,5,3,0,50,17,8,3,24,2,1,38,1,4,1,0.218,0.316,0.279,0.595,0.282,65.3,-0.17,-0.35
106,나균안,19롯DH,209,104,209,185,12,23,4,0,3,36,13,0,0,9,6,0,88,5,7,2,0.124,0.188,0.195,0.383,0.18,-4.1,-1.34,-2.74
107,한동희,19롯3B,207,59,207,187,12,38,9,0,2,53,9,1,0,18,0,0,57,3,0,2,0.203,0.271,0.283,0.554,0.263,52.2,-0.4,-1.93
108,오재원,19두2B,204,98,204,177,30,29,8,1,3,48,18,6,2,25,0,0,50,3,2,0,0.164,0.267,0.271,0.539,0.257,51.6,-0.29,-1.56
,박계범,19삼SS,204,58,204,168,26,43,8,1,4,65,25,5,1,22,5,0,45,7,6,3,0.256,0.354,0.387,0.74,0.336,100,1.02,-0.34
110,유민상,19K1B,202,61,202,175,23,51,15,0,5,81,26,0,0,23,4,0,35,6,0,0,0.291,0.386,0.463,0.849,0.391,138.7,1.21,0.46
