순,이름,팀,정렬,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,비율,,,,,,WAR*,WPA
59,김현준,22삼CF,363,118,422,363,57,100,19,4,0,127,22,5,3,45,6,0,80,1,8,0,0.275,0.365,0.35,0.715,0.334,105.5,1.96,0.64
60,장성우,22KC,362,117,420,362,48,94,11,0,18,159,55,1,0,52,2,2,79,12,1,3,0.26,0.353,0.439,0.792,0.36,121.8,3.38,0.5
61,김지찬,22삼2B,361,113,429,361,62,101,7,6,0,120,25,25,4,45,2,0,64,2,19,2,0.28,0.361,0.332,0.693,0.317,93.2,2.08,0.63
62,박세혁,22두C,351,128,402,351,33,87,13,1,3,111,41,2,2,33,6,1,71,4,8,4,0.248,0.32,0.316,0.636,0.295,80.4,1.29,-1.26
63,이창진,22KLF,346,111,404,346,56,104,14,0,7,139,48,3,5,41,2,0,63,7,11,4,0.301,0.374,0.402,0.776,0.352,117.2,1.84,-0.65
64,김휘집,22키SS,333,112,393,333,40,74,12,1,8,112,36,0,0,39,14,0,115,6,3,4,0.222,0.326,0.336,0.662,0.312,93.6,1.58,-1.22
65,문성주,22LDH,327,106,390,327,55,99,15,3,6,138,41,9,6,51,3,2,36,13,8,1,0.303,0.401,0.422,0.823,0.375,136,2.48,0.48
66,황성빈,22롯CF,320,102,353,320,62,94,12,4,1,117,16,10,12,22,2,0,55,2,7,2,0.294,0.341,0.366,0.707,0.324,95.3,1.23,-0.39
67,김준완,22키LF,317,111,398,317,43,60,10,2,1,77,28,1,1,64,8,0,71,4,6,3,0.189,0.337,0.243,0.58,0.288,74.9,-0.13,-0.86
68,피터스,22롯CF,316,85,354,316,32,72,16,0,13,127,48,7,4,26,8,1,77,5,0,4,0.228,0.299,0.402,0.701,0.319,93.7,1.18,1.09
69,노수광,22한LF,315,117,361,315,33,72,18,6,4,114,30,17,6,32,1,1,107,2,10,3,0.229,0.299,0.362,0.661,0.296,80.3,-0.02,-0.45
70,김성현,22S2B,302,130,359,302,38,66,9,1,2,83,37,3,3,31,3,0,36,13,20,3,0.219,0.295,0.275,0.57,0.259,53.9,-0.58,-0.25
71,이명기,22NLF,300,94,341,300,36,77,13,2,0,94,23,5,4,30,3,0,56,8,6,2,0.257,0.328,0.313,0.642,0.301,84.1,0.11,-1.84
72,최주환,22S2B,298,97,333,298,36,63,14,2,9,108,41,0,0,29,4,2,55,5,0,2,0.211,0.288,0.362,0.651,0.298,79.1,0.52,-0.42
73,정훈,22롯1B,294,91,340,294,39,72,8,0,3,89,32,4,1,32,2,0,66,6,6,6,0.245,0.317,0.303,0.62,0.29,73.4,-0.25,-0.68
74,이원석,22삼3B,288,88,335,288,31,77,13,0,10,120,60,0,0,33,5,2,70,7,3,6,0.267,0.346,0.417,0.763,0.345,110.2,1.12,1.31
75,오윤석,22K2B,286,111,337,286,23,67,13,0,6,98,37,2,1,34,6,0,69,9,5,6,0.234,0.322,0.343,0.665,0.308,86.1,0.84,0.26
76,알포드,22KLF,283,80,323,283,48,81,19,1,14,144,50,5,1,33,3,3,90,3,0,4,0.286,0.362,0.509,0.871,0.387,139.7,2.47,2.04
77,김주원,22NSS,273,96,326,273,35,62,10,2,10,106,47,10,3,30,14,1,89,4,9,0,0.227,0.334,0.388,0.723,0.327,100.7,1.81,-0.41
78,이용규,22키LF,271,86,326,271,34,54,6,0,0,60,21,12,2,45,7,0,42,7,1,2,0.199,0.326,0.221,0.548,0.278,67.7,-0.41,0.64
79,오선진,22삼3B,268,100,306,268,30,74,8,0,3,91,24,2,2,18,3,0,51,5,16,1,0.276,0.328,0.34,0.667,0.299,79.9,0.53,-0.72
80,오태곤,22SLF,263,130,295,263,48,61,15,1,4,90,23,11,4,15,9,1,68,3,5,3,0.232,0.293,0.342,0.635,0.29,73.9,0.08,0.06
81,김태진,22K키1B,254,77,276,254,37,68,5,1,0,75,20,1,2,17,1,0,30,4,3,1,0.268,0.315,0.295,0.61,0.289,74.5,0.23,-0.12
82,크론,22S1B,243,67,259,243,21,54,13,1,11,102,35,0,0,9,3,0,68,3,0,4,0.222,0.255,0.42,0.675,0.3,78.7,-0.2,-0.75
83,전의산,22S1B,241,77,266,241,36,60,15,1,13,116,45,0,0,24,0,3,84,6,0,1,0.249,0.316,0.481,0.797,0.353,114,1,0.2
84,안권수,22두RF,239,76,267,239,43,71,7,2,0,82,20,3,4,26,1,0,40,6,1,0,0.297,0.368,0.343,0.712,0.339,108.3,1.15,-0.47
85,권희동,22NCF,238,82,280,238,30,53,5,1,5,75,22,2,1,31,8,1,44,3,2,1,0.223,0.331,0.315,0.646,0.307,87.4,0.49,0.39
86,강백호,22KDH,237,62,264,237,24,58,12,0,6,88,29,0,0,23,1,2,44,6,1,2,0.245,0.312,0.371,0.683,0.312,88.8,0.02,0.16
87,김인태,22두RF,235,83,279,235,25,58,6,0,5,79,25,1,0,41,3,1,47,6,0,0,0.247,0.366,0.336,0.702,0.337,109.9,1.17,0.08
,안재석,22두SS,235,99,264,235,22,50,10,0,3,69,17,4,0,19,4,1,71,5,4,2,0.213,0.281,0.294,0.574,0.267,61.8,0.02,-0.88
,김상수,22삼SS,235,72,260,235,30,59,11,0,2,76,29,2,1,18,1,0,44,6,4,2,0.251,0.305,0.323,0.628,0.291,75.2,0.56,-0.79
90,이재원,22SC,234,105,279,234,27,47,6,0,4,65,28,1,0,25,8,1,44,13,9,3,0.201,0.296,0.278,0.574,0.267,57.8,0.28,-1.59
,고승민,22롯RF,234,92,262,234,31,74,15,1,5,106,30,1,4,25,0,0,47,6,2,1,0.316,0.381,0.453,0.834,0.381,134.4,1.95,1.34
92,이학주,22롯SS,232,91,260,232,29,48,11,1,3,70,15,2,4,16,2,0,54,3,9,1,0.207,0.263,0.302,0.565,0.256,49.3,-0.4,-1.92
93,김준태,22KC,231,98,270,231,28,63,16,1,4,93,27,2,0,33,0,1,77,4,3,3,0.273,0.36,0.403,0.762,0.348,113,1.82,0.54
,오영수,22N1B,231,83,259,231,25,55,10,0,6,83,31,0,5,22,3,0,58,4,0,3,0.238,0.309,0.359,0.668,0.311,89.8,0.09,0.33
95,이재현,22삼SS,230,75,239,230,23,54,4,0,7,79,23,0,0,5,1,0,44,6,3,0,0.235,0.254,0.343,0.598,0.271,59,-0.05,-0.82
96,강한울,22삼3B,226,93,252,226,31,73,12,1,1,90,26,4,2,20,0,0,48,2,4,2,0.323,0.375,0.398,0.773,0.355,119.4,1.83,-0.53
97,김도영,22K3B,224,103,254,224,37,53,11,4,3,81,19,13,3,22,3,0,62,3,4,1,0.237,0.312,0.362,0.674,0.309,88.1,0.72,-0.53
,김헌곤,22삼CF,224,80,239,224,18,43,8,0,1,54,20,3,1,9,1,0,22,10,2,3,0.192,0.224,0.241,0.465,0.217,24.6,-1.58,-2.24
99,김재호,22두SS,223,102,264,223,26,48,7,0,1,58,21,0,2,28,2,0,33,5,7,4,0.215,0.304,0.26,0.564,0.267,60.6,-0.06,-1.91
,이재원,22LDH,223,85,253,223,31,50,8,2,13,101,43,3,1,18,12,2,77,3,0,0,0.224,0.316,0.453,0.769,0.346,122,1.19,0.61
101,김민식,22KSC,222,104,266,222,30,49,9,1,2,66,28,0,0,32,2,1,45,4,7,3,0.221,0.321,0.297,0.618,0.288,73.5,0.76,-0.99
102,이진영,22한RF,220,70,240,220,27,44,12,1,8,82,31,2,2,17,0,0,90,4,0,3,0.2,0.254,0.373,0.627,0.283,71.1,-0.18,-1.9
103,서건창,22L2B,219,77,247,219,39,49,10,1,2,67,18,8,3,20,4,0,44,5,3,1,0.224,0.299,0.306,0.605,0.285,73.4,0.28,-1.75
104,렉스,22롯CF,218,56,251,218,32,72,10,1,8,108,34,3,0,26,5,2,44,4,0,2,0.33,0.41,0.495,0.906,0.411,156.3,2.3,1.32
105,박준영,22N3B,208,75,240,208,27,45,8,1,4,67,19,7,2,27,1,0,54,6,3,1,0.216,0.308,0.322,0.63,0.295,78.9,0.53,-1.16
106,김태군,22삼C,205,102,235,205,20,61,11,0,2,78,25,0,0,17,4,0,34,15,6,3,0.298,0.358,0.38,0.739,0.337,106.3,1.22,-0.17
,이호연,22롯3B,205,88,222,205,20,50,10,1,2,68,16,3,1,11,2,1,38,5,4,0,0.244,0.289,0.332,0.621,0.283,67.7,-0.16,-1.79
,박정현,22한SS,205,81,220,205,23,50,4,1,3,65,19,6,1,12,1,0,56,2,2,0,0.244,0.289,0.317,0.606,0.282,70.2,0.15,-1
