순,이름,팀,정렬,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,비율,,,,,,WAR*,WPA
,,,타수,,,,,,,,,,,,,,,,,,,,타율,출루,장타,OPS,wOBA,wRC+,,
1,터크먼,22한CF,575,144,648,575,88,166,37,4,12,247,43,19,11,64,7,5,104,12,0,2,0.289,0.366,0.43,0.795,0.365,126.8,4.98,0.8
2,최지훈,22SCF,570,144,640,570,93,173,32,4,10,243,61,31,7,47,7,0,77,7,12,4,0.304,0.362,0.426,0.788,0.357,120.8,4.78,1.77
,박해민,22LCF,570,144,636,570,97,165,20,8,3,210,49,24,6,44,9,0,85,4,7,6,0.289,0.347,0.368,0.715,0.331,103.9,3.45,0.6
4,나성범,22KRF,563,144,649,563,92,180,39,2,21,286,97,6,1,64,17,6,137,7,0,5,0.32,0.402,0.508,0.91,0.411,157.4,6.5,3.74
5,피렐라,22삼LF,561,141,630,561,102,192,33,4,28,317,109,15,5,55,12,12,81,19,0,2,0.342,0.411,0.565,0.976,0.434,169.3,7.4,4.2
6,이정후,22키CF,553,142,627,553,85,193,36,10,23,318,113,5,0,66,5,12,32,10,0,3,0.349,0.421,0.575,0.996,0.441,182.5,9.23,6.72
7,손아섭,22NRF,548,138,617,548,72,152,29,4,4,201,48,6,3,59,3,2,76,9,1,6,0.277,0.347,0.367,0.714,0.333,105.7,2.07,1.43
8,송성문,22키3B,547,142,601,547,67,135,21,4,13,203,79,0,1,45,1,6,65,8,1,7,0.247,0.302,0.371,0.673,0.305,88.1,2.01,-1.23
9,이대호,22롯DH,540,143,591,540,53,179,23,0,23,271,101,0,0,43,2,7,56,26,0,6,0.331,0.379,0.502,0.881,0.395,146.2,3.58,0.96
10,김현수,22LLF,524,141,604,524,78,150,25,2,23,248,106,2,1,71,5,7,62,5,0,3,0.286,0.375,0.473,0.848,0.382,145.1,4.88,2.7
11,황재균,22K3B,519,141,581,519,59,136,24,3,10,196,64,6,3,53,5,5,99,17,2,2,0.262,0.335,0.378,0.713,0.328,99.6,2.65,-0.18
12,김혜성,22키2B,516,129,566,516,81,164,18,7,4,208,48,34,7,47,0,3,83,9,0,3,0.318,0.373,0.403,0.776,0.36,123.9,4.8,1.26
13,소크라테스,22KCF,514,127,554,514,83,160,29,7,17,254,77,13,6,34,2,4,81,11,0,4,0.311,0.354,0.494,0.848,0.38,137,4.97,0.61
14,마티니,22NLF,510,139,576,510,67,153,34,1,16,237,85,13,4,51,8,5,86,8,0,7,0.3,0.368,0.465,0.833,0.376,134.9,3.96,0.53
15,정은원,22한2B,508,140,601,508,67,140,20,2,8,188,49,10,6,85,1,0,109,10,4,3,0.276,0.379,0.37,0.749,0.352,118.2,3.7,-0.81
,배정대,22KCF,508,144,575,508,64,135,24,2,6,181,56,19,4,54,4,0,126,2,5,4,0.266,0.339,0.356,0.695,0.324,96.7,2.58,-0.18
,페르난데스,22두DH,508,139,550,508,52,157,28,0,6,203,77,0,0,35,2,0,45,34,0,5,0.309,0.353,0.4,0.752,0.349,118.6,1.83,-0.21
18,김선빈,22K2B,505,140,587,505,51,145,23,0,3,177,61,13,2,65,6,0,47,14,7,3,0.287,0.373,0.351,0.724,0.341,109.6,2.88,1.39
19,오지환,22LSS,494,142,569,494,75,133,16,4,25,232,87,20,7,62,7,2,107,11,3,3,0.269,0.357,0.47,0.827,0.372,138.6,5.77,2.56
,박찬호,22KSS,494,130,566,494,81,134,22,0,4,168,45,41,8,57,1,0,67,9,7,7,0.271,0.344,0.34,0.684,0.319,95,3.02,0.62
,박성한,22SSS,494,140,564,494,68,147,24,4,2,185,56,12,8,60,2,1,81,5,6,2,0.298,0.375,0.374,0.749,0.349,116.6,4.23,1.49
22,안치홍,22롯2B,493,132,562,493,71,140,27,3,14,215,58,7,2,51,5,4,52,13,8,5,0.284,0.354,0.436,0.79,0.354,117.2,3.24,0.87
23,황대인,22K1B,476,129,524,476,40,122,27,0,14,191,91,0,0,36,7,2,92,20,0,5,0.256,0.315,0.401,0.716,0.327,100,1.08,-1.18
24,조용호,22KRF,474,131,531,474,52,146,18,4,3,181,44,5,4,49,3,3,74,3,2,3,0.308,0.374,0.382,0.756,0.352,115.8,2.66,1.99
25,푸이그,22키RF,473,126,547,473,65,131,30,0,21,224,73,6,3,58,12,1,100,6,0,4,0.277,0.368,0.474,0.841,0.382,143.4,3.78,1.35
26,오재일,22삼1B,470,135,536,470,57,126,42,0,21,231,94,2,1,58,1,8,133,7,0,7,0.268,0.345,0.491,0.837,0.37,126.5,2.83,0.86
,전준우,22롯LF,470,120,517,470,73,143,31,1,11,209,68,6,3,35,3,1,73,14,0,9,0.304,0.35,0.445,0.795,0.361,121.3,3.1,1.19
28,채은성,22L1B,467,126,526,467,48,138,26,2,12,204,83,6,7,27,21,3,88,16,0,11,0.296,0.354,0.437,0.79,0.359,127.3,2.89,-0.22
29,한유섬,22SRF,458,135,545,458,62,121,33,1,21,219,100,1,1,66,16,6,137,8,0,5,0.264,0.373,0.478,0.851,0.382,134.9,3.9,3.45
30,한동희,22롯3B,456,129,499,456,43,140,27,0,14,209,65,0,0,33,6,2,64,15,0,4,0.307,0.359,0.458,0.817,0.372,129.2,3.77,0.32
31,최형우,22KDH,454,132,530,454,55,120,27,1,14,191,71,1,0,73,1,5,92,9,0,2,0.264,0.366,0.421,0.787,0.361,123.3,2.29,1.16
32,김재환,22두LF,448,128,517,448,64,111,24,1,23,206,72,2,1,61,4,4,133,5,0,4,0.248,0.34,0.46,0.8,0.36,130.7,3.24,0.33
33,강승호,22두2B,444,134,487,444,54,117,28,1,10,177,62,13,5,29,3,0,100,8,6,5,0.264,0.31,0.399,0.708,0.32,100.5,2.34,0.53
,하주석,22한SS,444,125,483,444,50,115,18,2,5,152,58,20,6,31,3,1,126,4,2,3,0.259,0.31,0.342,0.652,0.303,84.5,1.38,-0.21
35,홍창기,22LRF,437,118,525,437,76,125,19,4,1,155,51,13,4,59,19,0,75,11,5,5,0.286,0.39,0.355,0.745,0.353,119.2,3.17,1.27
36,노시환,22한3B,434,115,490,434,55,122,24,1,6,166,59,6,2,48,4,1,95,13,0,4,0.281,0.355,0.382,0.738,0.344,112.5,2.65,1.99
37,허경민,22두3B,432,121,493,432,59,125,23,0,8,172,60,10,3,36,16,3,40,12,2,7,0.289,0.361,0.398,0.759,0.35,119.6,3.29,1.82
38,박병호,22K1B,429,124,487,429,72,118,17,0,35,240,98,5,3,40,12,3,131,7,0,6,0.275,0.349,0.559,0.909,0.399,147.8,3.85,3.71
39,양의지,22NC,427,130,510,427,61,121,24,0,20,205,94,3,1,60,13,6,48,16,0,10,0.283,0.38,0.48,0.861,0.386,140.3,4.61,0.76
40,이지영,22키C,420,137,450,420,38,112,13,4,2,139,37,1,1,20,2,2,44,16,8,0,0.267,0.303,0.331,0.634,0.29,75.6,1.26,-1.85
41,유강남,22LC,416,139,469,416,54,106,16,0,8,146,47,0,0,34,11,1,98,9,6,2,0.255,0.326,0.351,0.677,0.314,94.9,2.3,0.41
42,최정,22S3B,414,121,505,414,80,110,21,0,26,209,87,12,5,66,19,3,96,6,0,6,0.266,0.386,0.505,0.891,0.4,145.4,5.15,3.72
43,추신수,22SDH,409,112,499,409,77,106,20,1,16,176,58,15,5,71,13,1,100,6,2,4,0.259,0.382,0.43,0.813,0.374,129.8,2.38,2.01
,구자욱,22삼RF,409,99,442,409,69,119,23,3,5,163,37,11,1,27,3,2,84,7,1,2,0.291,0.338,0.399,0.736,0.338,107.1,1.91,-0.31
45,박건우,22NCF,408,111,463,408,52,137,18,1,10,187,61,3,3,44,8,1,62,10,0,3,0.336,0.408,0.458,0.867,0.4,151.9,4.47,1.02
46,문보경,22L3B,406,126,466,406,52,128,22,3,9,183,56,7,0,47,1,1,56,11,5,7,0.315,0.382,0.451,0.833,0.377,138.3,4.02,1.1
,양석환,22두1B,406,107,446,406,58,99,14,1,20,175,51,1,0,32,7,3,101,3,0,1,0.244,0.309,0.431,0.741,0.334,113,1.57,0.05
48,류지혁,22K3B,405,127,477,405,55,112,19,2,2,141,48,8,4,56,6,0,83,6,8,2,0.277,0.371,0.348,0.719,0.338,107.8,2.26,1.01
,정수빈,22두CF,405,127,455,405,58,105,12,4,3,134,41,15,8,39,1,1,56,2,6,4,0.259,0.323,0.331,0.654,0.303,85.3,1.13,0.81
50,김태연,22한3B,404,119,464,404,46,97,18,0,7,136,53,3,2,48,5,1,106,9,3,4,0.24,0.325,0.337,0.662,0.31,89.1,0.95,-1.45
51,김인환,22한1B,398,113,429,398,48,104,14,0,16,166,54,2,0,24,3,2,111,4,0,4,0.261,0.305,0.417,0.722,0.327,100.3,0.73,-1.43
52,노진혁,22N3B,396,115,451,396,50,111,24,0,15,180,75,2,0,45,2,3,105,11,3,5,0.28,0.353,0.455,0.807,0.362,125.1,3.31,1.13
,강민호,22삼C,396,130,444,396,38,102,19,1,13,162,66,0,0,41,3,4,58,21,1,3,0.258,0.33,0.409,0.739,0.335,103.6,2.11,0.55
54,박민우,22N2B,390,104,451,390,61,104,22,1,4,140,38,21,4,42,10,5,55,7,6,3,0.267,0.351,0.359,0.71,0.326,101,2.13,0.62
55,심우준,22KSS,388,132,449,388,69,93,8,2,4,117,34,23,2,43,2,0,75,11,11,4,0.24,0.316,0.302,0.617,0.287,72,1.55,-1.06
56,박동원,22키KC,385,123,447,385,52,93,21,0,18,168,57,1,0,45,9,4,95,9,7,1,0.242,0.334,0.436,0.771,0.344,111.5,2.94,-0.8
57,김민혁,22KLF,373,132,434,373,47,106,10,2,0,120,35,6,9,37,2,2,62,10,19,3,0.284,0.349,0.322,0.671,0.305,83.6,0.1,0.07
58,최재훈,22한C,364,114,437,364,38,81,14,0,5,110,30,1,1,44,21,0,65,17,5,2,0.223,0.339,0.302,0.641,0.308,87.4,1.78,-1.31
